id_siniestro,id_poliza,id_asegurado,id_proveedor,id_vehiculo,placa,ramo,cobertura,fecha_ocurrencia,fecha_reporte,dias_entre_ocurrencia_reporte,dias_desde_inicio_poliza,dias_desde_fin_poliza,monto_reclamado,monto_estimado,monto_pagado,suma_asegurada_poliza,estado,sucursal,descripcion,documentos_completos,documentos_inconsistentes,historial_siniestros_asegurado,siniestros_vehiculo_18m,proveedor_lista_restrictiva,score_riesgo,semaforo,señales_activadas,num_señales,etiqueta_fraude_simulada
SIN-0001,POL-0101,ASE-0055,PRV-0012,VEH-0349,YXC-6927,Vehículos,Volcadura,2023-02-18,2023-02-18,0,48,317,3060.95,3341.51,3341.51,19857.14,Pago Total,Guayaquil,El vehículo perdió el control en la vía Av. Carlos Julio Arosemena y volcó aparatosamente. No se identificaron otros vehículos involucrados. El accidente ocurrió aproximadamente a las 19:27 según el reporte policial.,Sí,No,0,2,No,31,Verde,2 siniestros del mismo vehículo | Dinámica de accidente sospechosa (Volcadura),2,0
SIN-0002,POL-0166,ASE-0102,PRV-0059,,,Hogar,Daño por Agua,2021-09-23,2021-09-24,1,13,-848,5606.6,6077.91,3872.67,38769.58,Pago Parcial,Guayaquil,Colisión frontal en la vía Av. 9 de Octubre cuando el vehículo contrario invadió el carril. Se levantó el parte policial correspondiente y se tomaron fotografías del lugar.,Sí,No,1,0,No,46,Amarillo,Reclamo entre 11-30 días de póliza,1,0
SIN-0003,POL-0107,ASE-0131,PRV-0047,VEH-0158,VYU-6765,Vehículos,Robo,2024-03-24,2024-03-27,3,353,12,35393.67,29310.78,29310.78,21785.72,Pago Total,Portoviejo,Sustracción del vehículo en el interior de un centro comercial de Redondel Central. Las cámaras del lugar presentaban fallas técnicas según indicó el personal de seguridad.,Sí,No,3,4,No,58,Amarillo,Demora denuncia robo >48h | Alta frecuencia reclamos asegurado (3 siniestros) | Alta frecuencia conductor en vehículo (4 siniestros) | Vehículo con múltiples siniestros,4,0
SIN-0004,POL-0209,ASE-0142,PRV-0008,VEH-0162,WGD-2621,Vehículos,Volcadura,2023-05-10,2023-05-10,0,770,-405,11202.97,10541.78,0.0,27323.71,Liquidado,Guayaquil,El vehículo perdió el control en la vía Av. 9 de Octubre y volcó aparatosamente. No se identificaron otros vehículos involucrados. El accidente ocurrió aproximadamente a las 15:03 según el reporte policial.,Sí,No,1,4,No,25,Verde,Alta frecuencia conductor en vehículo (4 siniestros) | Vehículo con múltiples siniestros | Dinámica de accidente sospechosa (Volcadura),3,0
SIN-0005,POL-0001,ASE-0033,PRV-0040,VEH-0075,WMZ-9225,Vehículos,Responsabilidad Civil,2024-09-13,2024-09-15,2,1712,-1347,5522.43,4574.68,2538.51,38796.87,Pago Parcial,Cuenca,Colisión del asegurado contra un vehículo de servicio público en Calle Gran Colombia. El conductor del bus presentó daños en la parte lateral y varios pasajeros reportaron lesiones leves.,Sí,No,0,1,No,11,Verde,Ninguna,0,0
SIN-0006,POL-0240,ASE-0119,PRV-0054,VEH-0197,KDS-2838,Vehículos,Robo,2024-05-10,2024-05-11,1,502,-137,26479.84,23152.64,23152.64,27661.18,Pago Total,Quito,Robo del vehículo en el sector comercial de Av. Naciones Unidas. El asegurado indica que dejó el auto por aproximadamente 2 horas y al regresar ya no se encontraba. No hay evidencia de forzamiento.,Sí,No,3,5,No,100,Rojo,Demora denuncia robo 24-48h | Alta frecuencia reclamos asegurado (3 siniestros) | Alta frecuencia conductor en vehículo (5 siniestros) | Vehículo con múltiples siniestros | Proveedor con historial de casos observados | Monto cercano a suma asegurada (>93%),6,1
SIN-0007,POL-0279,ASE-0229,PRV-0003,VEH-0159,HEC-5071,Vehículos,Robo,2023-10-14,2023-10-14,0,-174,539,24377.01,20227.13,20227.13,27840.28,Pago Total,Quito,Robo del vehículo en el sector comercial de Av. América. El asegurado indica que dejó el auto por aproximadamente 2 horas y al regresar ya no se encontraba. No hay evidencia de forzamiento.,Sí,No,3,0,No,42,Amarillo,Alta frecuencia reclamos asegurado (3 siniestros),1,0
SIN-0008,POL-0285,ASE-0038,PRV-0016,VEH-0124,YMH-3885,Vehículos,Robo,2023-11-28,2023-11-28,0,30,419,15661.18,14357.39,0.0,20273.46,Cierre Sin Consecuencia,Quito,El vehículo fue robado en horas de la madrugada mientras se encontraba estacionado frente al domicilio del asegurado en Av. 6 de Diciembre. Se realizó la denuncia en la UPC del sector.,Sí,No,0,4,No,25,Verde,Reclamo entre 11-30 días de póliza | Alta frecuencia conductor en vehículo (4 siniestros) | Vehículo con múltiples siniestros,3,0
SIN-0009,POL-0234,ASE-0152,PRV-0005,,,Generales,Responsabilidad Civil,2024-11-01,2024-11-01,0,1333,-968,7765.89,6229.77,4229.9,19773.37,Anticipo,Quito,El vehículo asegurado impactó a un peatón en Av. 6 de Diciembre causando lesiones de consideración. Se levantó el parte policial y se trasladó al afectado al centro médico más cercano.,Sí,No,1,0,No,91,Rojo,Ninguna,0,1
SIN-0010,POL-0136,ASE-0016,PRV-0041,VEH-0122,DGR-6162,Vehículos,Choque,2024-07-05,2024-07-06,1,1027,-662,5158.77,4815.08,4815.08,28248.54,Pago Total,Guayaquil,Impacto posterior en el sector de Av. 9 de Octubre durante hora pico. El conductor responsable presentó documentos y se llegó a un acuerdo inicial antes del reporte a la aseguradora.,Sí,No,3,1,No,76,Rojo,Alta frecuencia reclamos asegurado (3 siniestros),1,1
